,City,Country,Date,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed
0,Pacific Grove,US,1533603300,36.62,-121.92,86.0,43,1,3.36
1,Lebu,ET,1533605857,8.96,38.73,52.39,96,80,2.82
2,Chokurdakh,RU,1533605857,70.62,147.9,43.35,91,0,9.19
3,Busselton,AU,1533605858,-33.64,115.35,62.16,96,8,15.79
4,Comodoro Rivadavia,AR,1533603600,-45.87,-67.48,48.2,76,20,2.24
5,Corrente,BR,1533605858,-17.45,-44.68,63.78,94,64,4.38
6,Castro,CL,1533605859,-42.48,-73.76,41.01,100,36,5.61
7,Mataura,NZ,1533605859,-46.19,168.86,44.25,82,100,3.94
8,Punta Arenas,CL,1533603600,-53.16,-70.91,33.8,100,90,5.82
9,Tignere,CM,1533605859,7.37,12.65,63.37,98,92,2.26
10,Sao Joao da Barra,BR,1533605860,-21.64,-41.05,68.28,100,100,22.5
11,Sterling,US,1533604500,39.0,-77.4,82.4,83,1,5.84
12,Leningradskiy,RU,1533605860,69.38,178.42,35.07,100,20,9.42
13,Doha,QA,1533603600,25.29,51.53,102.2,24,0,14.99
14,Grand Gaube,MU,1533603600,-20.01,57.66,69.8,56,40,8.05
15,Hermanus,ZA,1533605861,-34.42,19.24,43.35,98,68,8.19
16,Bredasdorp,ZA,1533603600,-34.53,20.04,46.4,81,56,9.17
17,Albany,US,1533603240,42.65,-73.75,84.2,69,20,5.82
18,Benemerito de las Americas,MX,1533605862,16.52,-90.64,76.02,85,56,2.48
19,Sitka,US,1533605862,37.17,-99.65,86.77,35,56,10.2
20,Port Elizabeth,US,1533603360,39.31,-74.98,82.4,78,1,10.98
21,Rio Gallegos,AR,1533603600,-51.62,-69.22,33.8,69,90,2.24
22,Santa Cruz de la Palma,ES,1533603600,28.68,-17.76,75.2,64,0,16.11
23,Alwar,IN,1533605863,27.56,76.61,79.21,91,24,4.38
24,Mahebourg,MU,1533603600,-20.41,57.7,69.8,56,40,8.05
25,Ushuaia,AR,1533603600,-54.81,-68.31,32.0,100,90,11.41
26,Airai,TL,1533605864,-8.93,125.41,83.17,44,0,1.81
27,Tasiilaq,GL,1533603000,65.61,-37.64,41.0,80,68,18.34
28,Cape Town,ZA,1533603600,-33.93,18.42,48.2,66,75,4.7
29,Carnarvon,ZA,1533605865,-30.97,22.13,31.38,94,36,11.1
30,Ensley,US,1533603300,33.51,-86.89,84.2,66,20,3.36
31,Atuona,PF,1533605866,-9.8,-139.03,79.89,99,64,19.04
32,Hobart,AU,1533601800,-42.88,147.33,48.2,61,75,12.75
33,Kapaa,US,1533603360,22.08,-159.32,84.2,70,75,17.22
34,Praia da Vitoria,PT,1533603600,38.73,-27.07,71.6,73,75,5.95
35,Bom Jesus da Lapa,BR,1533605867,-13.25,-43.41,74.26,58,0,10.42
36,Corinth,GR,1533603000,37.94,22.93,77.0,41,0,9.17
37,San Patricio,PY,1533605852,-26.98,-56.83,43.8,81,0,2.93
38,Tuktoyaktuk,CA,1533603600,69.44,-133.03,44.6,81,90,5.82
39,Butaritari,KI,1533605868,3.07,172.79,79.53,100,64,3.49
40,Imbituba,BR,1533603600,-28.24,-48.67,50.0,100,0,5.39
41,Hofn,IS,1533605869,64.25,-15.21,49.83,96,80,31.79
42,Sistranda,NO,1533603000,63.73,8.83,53.6,81,0,10.29
43,Moyale,ET,1533605869,3.52,39.05,62.29,88,32,6.62
44,Vaini,IN,1533605870,15.34,74.49,69.72,99,92,9.19
45,Kattivakkam,IN,1533603600,13.22,80.32,84.2,62,75,11.41
46,Tuatapere,NZ,1533605870,-46.13,167.69,52.84,87,44,17.36
47,Rikitea,PF,1533605859,-23.12,-134.97,75.61,98,56,4.16
48,Pochutla,MX,1533602700,15.74,-96.47,80.6,83,90,8.05
49,College,US,1533603780,64.86,-147.8,57.2,87,90,12.44
50,Hamilton,BM,1533603300,32.3,-64.78,80.6,74,20,5.82
51,Kloulklubed,PW,1533603000,7.04,134.26,84.2,79,75,10.29
52,Pavlysh,UA,1533605872,48.92,33.36,65.31,88,24,4.38
53,Aripuana,BR,1533605872,-9.17,-60.63,76.24,86,0,2.04
54,Ponta do Sol,BR,1533605872,-20.63,-46.0,57.84,95,68,2.93
55,Esperance,TT,1533603600,10.24,-61.45,80.6,83,20,9.17
56,Jamestown,AU,1533605873,-33.21,138.6,47.44,98,88,15.46
57,Tautira,PF,1533603600,-17.73,-149.15,84.2,66,40,8.05
58,Bassar,TG,1533600000,9.26,0.78,69.8,100,75,4.7
59,Nikolskoye,RU,1533603600,59.7,30.79,59.0,77,75,6.71
60,Bolshevik,BY,1533603600,54.01,27.57,57.2,76,0,4.47
61,Emporia,US,1533603180,38.4,-96.18,80.6,57,75,5.82
62,Araxa,BR,1533605875,-19.59,-46.94,56.71,98,76,3.71
63,Basco,US,1533604500,40.33,-91.2,86.0,78,1,4.7
64,Upernavik,GL,1533605875,72.79,-56.15,41.86,87,92,32.79
65,Hilo,US,1533603360,19.71,-155.08,84.2,62,40,12.75
66,Santo Domingo,DO,1533603600,18.48,-69.94,78.8,88,40,2.26
67,Geraldton,CA,1533603600,49.72,-86.95,53.6,93,90,2.24
68,Shenjiamen,CN,1533605877,29.96,122.3,85.11,91,8,8.75
69,Dwarka,IN,1533603600,28.58,77.04,80.6,94,90,5.82
70,Zemes,RO,1533601800,46.58,26.42,68.0,94,48,5.82
71,Nsoko,ZA,1533605878,-27.07,31.93,51.67,94,0,3.6
72,Moose Factory,CA,1533603600,51.26,-80.61,48.2,87,90,4.7
73,New Norfolk,AU,1533603600,-42.78,147.06,50.0,57,40,14.99
74,Daru,SL,1533605879,7.99,-10.85,70.62,98,92,6.29
75,Tazovskiy,RU,1533605879,67.47,78.7,55.5,77,76,16.46
76,Bluff,AU,1533605879,-23.58,149.07,68.73,22,80,12.21
77,Athabasca,CA,1533605880,54.72,-113.29,69.72,59,68,8.41
78,Gushikawa,JP,1533603600,26.35,127.87,87.8,70,1,10.29
79,Ulaangom,MN,1533605880,49.98,92.07,57.97,82,20,3.38
80,Half Moon Bay,US,1533603360,37.46,-122.43,91.4,46,20,23.04
81,Lavrentiya,RU,1533605881,65.58,-170.99,44.74,100,36,4.72
82,Sao Filipe,CV,1533605881,14.9,-24.5,76.24,100,92,12.44
83,Richards Bay,ZA,1533605881,-28.77,32.06,55.77,85,0,7.29
84,Aksarka,RU,1533605881,66.56,67.8,57.61,72,76,11.99
85,Torbay,CA,1533603600,47.66,-52.73,55.4,100,90,5.82
86,Pundaguitan,PH,1533605882,6.37,126.17,85.02,95,56,12.77
87,Mackay,CA,1533603600,53.65,-115.58,78.8,41,75,8.05
88,Qaanaaq,GL,1533605883,77.48,-69.36,39.21,85,76,13.22
89,Tiksi,RU,1533605883,71.64,128.87,50.19,78,8,14.67
90,Vao,EE,1533605883,59.1,26.19,62.11,66,88,10.65
91,Zuwarah,LY,1533605884,32.93,12.08,81.69,86,12,14.9
92,Luderitz,NA,1533605884,-26.65,15.16,49.38,89,0,7.18
93,Agadir,MA,1533603600,30.42,-9.58,69.8,83,0,8.05
94,Iracoubo,GF,1533605885,5.48,-53.21,77.1,88,64,5.06
95,Enshi,CN,1533605885,30.29,109.48,79.71,84,56,3.71
96,Dongkan,CN,1533605885,34.0,119.83,90.96,84,0,8.41
97,Padang,ID,1533605886,-0.92,100.36,77.55,100,48,3.6
98,Hay River,CA,1533603600,60.82,-115.79,71.6,64,90,9.17
99,Mitsamiouli,KM,1533603600,-11.38,43.28,69.8,94,20,4.7
100,Thompson,CA,1533603600,55.74,-97.86,64.4,88,75,10.29
101,Vardo,US,1533603300,39.62,-77.74,84.2,70,40,4.7
102,Trofors,NO,1533604800,65.54,13.39,50.0,100,68,5.82
103,Clyde River,CA,1533603600,70.47,-68.59,46.4,65,1,18.34
104,Khatanga,RU,1533605888,71.98,102.47,51.0,97,8,9.64
105,Mar del Plata,AR,1533605888,-46.43,-67.52,42.45,98,92,0.25
106,Boyolangu,ID,1533605888,-8.09,111.9,82.72,49,0,5.28
107,Toamasina,MG,1533603600,-18.17,49.38,64.4,93,40,2.15
108,Shimoda,JP,1533603600,34.7,138.93,84.2,88,75,24.16
109,Hun,BE,1533604800,50.34,4.87,71.6,68,0,2.24
110,Trairi,BR,1533605644,-3.28,-39.27,79.57,98,24,20.04
111,Santa Maria,BR,1533603600,-29.69,-53.81,51.8,87,0,5.82
112,Port Macquarie,AU,1533603600,-31.43,152.91,62.6,29,0,14.99
113,Kruisfontein,ZA,1533605892,-34.0,24.73,53.29,92,44,23.62
114,Barrow,AR,1533605677,-38.31,-60.23,60.27,50,88,18.7
115,Arraial do Cabo,BR,1533603600,-22.97,-42.02,64.4,93,90,3.36
116,Codrington,AU,1533605892,-28.95,153.24,63.15,48,0,8.19
117,Nhulunbuy,AU,1533603600,-12.18,136.78,80.6,65,40,17.22
118,Kannur,IN,1533605893,11.88,75.37,68.77,99,92,2.37
119,Kahului,US,1533603360,20.89,-156.47,87.8,48,1,24.16
120,Nabire,ID,1533605893,-3.36,135.5,76.74,87,32,2.59
121,Araouane,ML,1533605894,18.9,-3.53,80.25,65,36,6.4
122,Provideniya,RU,1533603600,64.42,-173.23,51.8,76,75,6.71
123,Georgetown,GY,1533603600,6.8,-58.16,75.2,100,75,6.93
124,Kavieng,PG,1533605776,-2.57,150.8,80.92,100,48,3.38
125,Avarua,CK,1533603600,-21.21,-159.78,77.0,73,75,20.8
126,Bay Roberts,CA,1533603600,47.58,-53.28,55.4,100,90,5.82
127,Ulluaya,RU,1533603600,42.37,47.37,69.8,68,0,6.71
128,San Quintin,PH,1533603600,17.54,120.52,86.0,74,75,4.7
129,Aykhal,RU,1533605896,65.95,111.51,62.25,53,76,4.83
130,Yumen,CN,1533605897,40.29,97.04,80.74,44,0,4.16
131,Dikson,RU,1533605897,73.51,80.55,47.31,82,32,19.6
132,Lorengau,PG,1533605897,-2.02,147.27,80.74,100,80,6.17
133,Coquimbo,CL,1533603600,-29.95,-71.34,53.6,93,90,4.7
134,Saint-Francois,FR,1533605400,46.42,3.91,69.8,73,0,3.36
135,Pangnirtung,CA,1533605898,66.15,-65.72,41.19,96,92,4.27
136,Howard Springs,AU,1533603600,-12.5,131.05,84.2,18,0,13.87
137,Haines Junction,CA,1533605899,60.75,-137.51,58.38,57,88,4.5
138,Inhambane,MZ,1533605899,-23.87,35.38,68.91,100,20,6.96
139,Bilma,NE,1533605899,18.69,12.92,83.58,50,32,9.98
140,Longyearbyen,NO,1533603000,78.22,15.63,46.4,98,0,3.36
141,Kaspiyskiy,RU,1533605900,45.39,47.37,74.76,90,0,5.17
142,Camacha,PT,1533603600,33.08,-16.33,73.4,78,40,19.46
143,Belmonte,PT,1533605901,40.36,-7.35,60.18,82,0,3.38
144,Kodiak,US,1533603900,39.95,-94.76,80.6,65,75,33.33
145,Wajid,SO,1533605901,3.81,43.25,66.03,94,24,9.42
146,Sioux Falls,US,1533604500,43.55,-96.7,77.0,65,75,4.7
147,Pevek,RU,1533605902,69.7,170.27,41.41,100,24,12.88
148,Port Alfred,ZA,1533605902,-33.59,26.89,56.76,91,0,15.79
149,Luwuk,ID,1533605881,-0.95,122.79,82.23,78,12,7.18
150,Paita,PE,1533601020,-5.09,-81.11,69.8,68,0,13.87
151,Vila Velha,BR,1533603600,-3.71,-38.6,78.8,83,40,9.17
152,Barabai,ID,1533605903,-2.59,115.38,84.61,75,0,3.04
153,San Andres,PH,1533605649,13.32,122.68,77.01,100,92,23.96
154,Kimbe,PG,1533605904,-5.56,150.15,82.32,98,32,6.73
155,Shirokiy,RU,1533605904,53.87,39.17,65.76,72,92,7.85
156,Taltal,CL,1533605904,-25.41,-70.49,48.97,91,0,2.71
157,Victoria,BN,1533603600,5.28,115.24,82.4,83,75,2.24
158,Smithers,CA,1533603600,54.78,-127.17,78.8,24,75,17.22
159,Havre-Saint-Pierre,CA,1533603600,50.23,-63.6,64.4,93,75,5.82
160,Ixmiquilpan,MX,1533605906,20.48,-99.22,55.5,99,68,2.15
161,Oxford,US,1533603360,33.61,-85.83,84.2,74,40,6.93
162,Lumsden,CA,1533603600,50.65,-104.86,78.8,39,5,8.05
163,Bethel,US,1533603180,60.79,-161.76,57.2,93,90,11.41
164,Touros,BR,1533605779,-5.2,-35.46,74.89,94,88,12.21
165,Alofi,NU,1533603600,-19.06,-169.92,78.8,50,40,14.99
166,Lappeenranta,FI,1533604800,61.06,28.19,57.2,87,75,9.17
167,Nanortalik,GL,1533605909,60.14,-45.24,40.69,97,0,9.75
168,Salalah,OM,1533603000,17.01,54.1,77.0,94,75,3.36
169,Mbalmayo,CM,1533603600,3.52,11.5,68.0,94,75,2.59
170,Port Shepstone,ZA,1533605909,-30.74,30.45,59.14,83,0,7.63
171,Araguaina,BR,1533605691,-7.19,-48.21,78.81,44,32,4.61
172,Puerto Ayora,EC,1533600000,-0.74,-90.35,73.4,69,75,17.22
173,Pedro Juan Caballero,PY,1533605910,-22.55,-55.74,56.71,94,8,7.18
174,Kolondieba,ML,1533605911,11.09,-6.89,71.52,95,24,7.52
175,Severo-Kurilsk,RU,1533605911,50.68,156.12,57.93,87,32,0.92
176,Mehamn,NO,1533605911,71.03,27.85,46.72,100,92,16.8
177,Cunha,BR,1533603600,-23.08,-44.96,57.2,100,90,2.24
178,Roura,GF,1533603600,4.73,-52.33,75.2,100,0,7.96
179,Wattegama,LK,1533605912,7.35,80.68,70.21,100,100,4.83
180,Kenai,US,1533603360,60.55,-151.26,60.8,82,90,19.46
181,Noumea,NC,1533603600,-22.28,166.46,77.0,47,0,6.93
182,Paamiut,GL,1533605913,61.99,-49.67,44.29,88,44,20.27
183,Namibe,AO,1533605913,-15.19,12.15,63.64,100,0,13.33
184,Floro,NO,1533604800,61.6,5.03,59.0,93,92,10.29
185,Margate,AU,1533603600,-43.03,147.26,50.0,57,40,14.99
186,Saskylakh,RU,1533605914,71.97,114.09,65.26,72,0,8.97
187,Mumbwa,ZM,1533605914,-14.99,27.06,53.25,62,0,6.85
188,Usakos,NA,1533605915,-22.0,15.59,39.16,79,0,4.38
189,Erzin,TR,1533603000,36.95,36.2,78.8,74,0,16.11
190,Denpasar,ID,1533603600,-8.65,115.22,77.0,83,75,9.17
191,Torbat-e Jam,IR,1533605916,35.24,60.63,74.94,37,0,11.99
192,Hasaki,JP,1533603900,35.73,140.83,73.4,94,75,17.22
193,Kaitangata,NZ,1533605916,-46.28,169.85,53.52,75,24,8.86
194,Tucupita,VE,1533605916,9.06,-62.05,79.62,82,36,7.4
195,Puerto Escondido,MX,1533605917,15.86,-97.07,83.58,100,32,5.95
196,Yulara,AU,1533603600,-25.24,130.99,55.4,37,0,5.82
197,Kodinsk,RU,1533605712,58.6,99.18,58.51,63,36,3.6
198,General Roca,AR,1533603600,-39.03,-67.58,51.8,76,88,1.12
199,Mackenzie,CA,1533603600,55.34,-123.09,75.2,29,1,3.36
200,Ribeira Grande,PT,1533605918,38.52,-28.7,70.39,100,0,8.08
201,Narok,KE,1533605918,-1.09,35.87,48.16,96,0,3.38
202,Twin Falls,US,1533603180,42.57,-114.46,86.0,17,1,5.82
203,Santa Cruz,US,1533603360,36.97,-122.03,89.6,63,1,5.82
204,Cidreira,BR,1533605920,-30.17,-50.22,46.81,86,0,6.06
205,Klaksvik,FO,1533604800,62.23,-6.59,50.0,93,44,14.99
206,Iqaluit,CA,1533603600,63.75,-68.52,41.0,100,90,4.7
207,Kalmunai,LK,1533605921,7.42,81.82,84.52,66,20,4.72
208,Yerbogachen,RU,1533605921,61.28,108.01,58.56,74,20,6.96
209,Moerai,PF,1533605922,-22.43,-151.33,74.85,100,64,13.78
210,Byron Bay,AU,1533603600,-28.65,153.62,69.8,30,0,8.05
211,Husavik,CA,1533605922,50.56,-96.99,60.54,84,0,5.17
212,Amontada,BR,1533605923,-3.36,-39.83,75.3,80,8,9.19
213,Katherine,AU,1533603600,-14.47,132.26,80.6,25,0,10.29
214,Mazagao,BR,1533603600,-0.12,-51.29,77.0,100,75,5.82
215,Poum,MK,1533605923,41.28,20.71,53.11,88,0,2.04
216,Maba,CN,1533605924,24.68,113.59,87.22,75,12,2.93
217,Dingle,PH,1533605924,11.0,122.67,74.44,100,92,9.98
218,Petropavlovsk-Kamchatskiy,RU,1533603600,53.05,158.65,68.0,68,40,11.18
219,Maua,KE,1533605925,0.23,37.94,52.53,85,0,3.15
220,Ahipara,NZ,1533605925,-35.17,173.16,59.14,87,0,4.94
221,Portland,US,1533603180,45.52,-122.67,91.4,29,40,10.29
222,Chuy,UY,1533605925,-33.69,-53.46,49.02,92,0,11.99
223,Santa Rosa,AR,1533605927,-36.62,-64.29,62.34,52,56,12.33
224,Faanui,PF,1533605927,-16.48,-151.75,80.11,100,0,12.77
225,Ust-Kuyga,RU,1533605927,70.0,135.55,57.03,65,0,5.95
226,Saint-Philippe,CA,1533604500,45.36,-73.48,78.8,83,90,6.93
227,Muhos,FI,1533604800,64.81,26.0,53.6,81,0,6.93
228,Basoko,CD,1533605928,1.23,23.61,70.12,100,64,5.06
229,Lata,IN,1533605928,30.78,78.62,62.52,100,64,1.59
230,Yangjiang,CN,1533605929,21.85,111.96,86.82,97,12,4.05
231,Te Anau,NZ,1533605929,-45.41,167.72,47.49,73,48,11.65
232,Changde,CN,1533605930,29.04,111.68,83.22,100,56,4.38
233,Yantal,RU,1533605930,56.85,105.25,60.9,60,20,3.38
234,La Salle,US,1533604500,41.33,-89.09,80.6,78,75,4.7
235,Lompoc,US,1533603480,34.64,-120.46,77.0,38,1,11.41
236,Ponta Delgada,PT,1533603600,37.73,-25.67,69.8,68,75,5.82
237,Chitral,PK,1533605932,35.85,71.79,47.71,35,0,1.36
238,Karratha,AU,1533605932,-20.74,116.85,73.05,14,0,13.78
239,Ajaccio,FR,1533605400,41.93,8.74,75.2,83,0,5.82
240,Caravelas,BR,1533605932,-17.73,-39.27,75.39,100,92,12.33
241,Carolina,PR,1533603360,18.38,-65.96,82.4,88,40,11.41
242,Mount Isa,AU,1533603600,-20.73,139.49,64.4,18,0,12.75
243,Oga,NG,1533605934,8.18,5.65,69.99,97,68,4.72
244,Lokosovo,RU,1533605934,61.13,74.84,57.75,80,92,11.77
245,Wakkanai,JP,1533603600,45.41,141.67,75.2,64,20,5.82
246,Galle,US,1533603360,29.74,-97.91,89.6,58,1,10.29
247,Cruzeiro do Sul,BR,1533603600,-7.63,-72.67,69.8,94,90,6.93
248,Boksitogorsk,RU,1533605935,59.47,33.85,57.21,76,44,6.62
249,Hualmay,PE,1533605936,-11.1,-77.61,53.7,95,44,5.84
250,Fortuna,ES,1533603600,38.18,-1.13,80.6,74,0,1.12
251,Namatanai,PG,1533605936,-3.66,152.44,79.71,100,80,10.76
252,Gigant,RU,1533605936,46.5,41.34,70.39,81,0,2.82
253,Maniitsoq,GL,1533605937,65.42,-52.9,48.39,71,48,11.88
254,Topolovgrad,BG,1533605937,42.08,26.33,63.24,71,0,2.59
255,Bambous Virieux,MU,1533603600,-20.34,57.76,69.8,56,40,8.05
256,Constitucion,MX,1533602640,23.99,-104.67,68.0,56,90,4.7
257,Kinsale,IE,1533603600,51.71,-8.52,55.4,87,75,5.82
258,Jiayuguan,CN,1533605938,39.77,98.29,69.18,64,44,1.81
259,Pulsano,IT,1533604800,40.38,17.36,75.2,88,0,2.24
260,Bintulu,MY,1533600000,3.17,113.03,77.0,100,75,3.36
261,Lagoa,PT,1533603600,37.14,-8.45,75.2,60,0,1.12
262,Laguna,MX,1533602520,27.52,-110.01,91.4,49,75,5.82
