,City,Country,Date,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed
263,Saint-Georges,CA,1533605939,46.12,-70.67,70.89,89,20,2.71
264,Parfenyevo,RU,1533605940,58.48,43.41,60.76,82,48,8.3
265,Camargo,MX,1533605940,27.69,-105.17,81.91,25,12,10.76
266,Fort Nelson,CA,1533603600,58.81,-122.69,77.0,33,75,8.05
267,Nanzhang,CN,1533605941,31.78,111.84,84.84,80,32,2.71
268,Cabo San Lucas,MX,1533603000,22.89,-109.91,87.8,66,5,5.82
269,Esmeralda,CL,1533605941,-34.33,-70.9,41.55,99,92,3.04
270,Calama,CL,1533603600,-22.46,-68.93,48.2,21,0,3.36
271,Gobabis,NA,1533605942,-22.45,18.97,49.69,56,0,8.86
272,Lubsko,PL,1533605400,51.79,14.97,53.6,93,0,2.24
273,Sioux Lookout,CA,1533603600,50.1,-91.92,59.0,67,75,3.36
274,Vestmannaeyjar,IS,1533605943,63.44,-20.27,50.32,84,20,18.37
275,Yellowknife,CA,1533603600,62.45,-114.38,64.4,82,90,11.77
276,Ahar,IR,1533605944,38.48,47.07,55.09,92,92,2.37
277,Beyneu,KZ,1533605944,45.32,55.19,74.94,61,0,7.85
278,Puerto Ayacucho,CO,1533603600,5.66,-67.63,80.6,94,40,3.94
279,Rosarno,IT,1533603300,38.49,15.98,78.8,78,0,1.12
280,Jackson,US,1533603300,35.61,-88.82,84.2,88,1,3.62
281,Grindavik,IS,1533603600,63.84,-22.43,48.2,81,20,19.46
282,Sunrise Manor,US,1533604500,36.21,-115.07,107.6,6,1,2.15
283,Pangoa,PE,1533605945,-12.12,-73.0,63.33,97,76,1.14
284,Vanimo,PG,1533605946,-2.67,141.3,82.23,100,20,6.29
285,Karpathos,GR,1533604800,35.51,27.21,78.8,69,0,23.04
286,Cherskiy,RU,1533605946,68.75,161.3,50.28,58,64,6.85
287,Gamba,CN,1533605947,28.28,88.52,37.23,100,12,2.93
288,Port Hawkesbury,CA,1533603600,45.62,-61.36,68.0,77,1,3.36
289,Saldanha,PT,1533605947,41.42,-6.55,60.81,54,8,6.17
290,Ancud,CL,1533605948,-41.87,-73.83,43.44,93,12,5.95
291,Eyl,SO,1533605948,7.98,49.82,77.59,78,0,18.37
292,Rome,IT,1533604800,41.89,12.48,77.0,73,0,3.36
293,Saurimo,AO,1533605948,-9.66,20.4,54.37,68,0,2.48
294,Jalu,LY,1533605949,29.03,21.55,81.01,41,0,10.2
295,Bubaque,GW,1533605949,11.28,-15.83,79.12,100,88,13.67
296,Tura,IN,1533605949,25.52,90.21,80.97,93,64,1.7
297,Kapiri Mposhi,ZM,1533605950,-13.97,28.68,53.16,67,0,7.18
298,Luganville,VU,1533605950,-15.51,167.18,75.21,100,36,10.31
299,Westport,IE,1533605950,53.8,-9.52,55.5,95,92,10.54
300,Wormeldange,DE,1533604800,49.61,6.41,75.2,44,0,3.36
301,Anori,BR,1533605951,-3.74,-61.66,76.83,90,0,4.72
302,Dumas,IN,1533605951,21.09,72.71,80.02,100,88,19.26
303,Honningsvag,NO,1533605952,70.98,25.97,47.89,100,92,18.48
304,Itoman,JP,1533603600,26.12,127.67,87.8,70,20,12.75
305,Kinablangan,PH,1533605952,7.69,126.55,86.37,91,20,11.43
306,Novo Aripuana,BR,1533605952,-5.12,-60.38,73.05,98,8,2.37
307,Veydelevka,RU,1533605953,50.15,38.45,68.91,72,20,2.59
308,Burnie,AU,1533605953,-41.05,145.91,51.81,100,0,22.84
309,Guangyuan,CN,1533605953,32.43,105.86,79.17,89,24,1.14
310,Danane,CI,1533605954,7.26,-8.15,70.66,96,92,8.75
311,Amahai,ID,1533605954,-3.31,129.0,80.43,100,68,15.46
312,Opuwo,NA,1533605954,-18.06,13.84,49.38,66,0,3.94
313,Obo,CF,1533605955,5.39,26.49,68.14,96,68,3.38
314,Yaan,NG,1533605955,7.38,8.57,71.56,99,92,7.52
315,Buala,SB,1533605955,-8.15,159.59,84.12,78,8,4.83
316,Quzhou,CN,1533605955,28.97,118.86,90.33,72,0,3.6
317,Collipulli,CL,1533605956,-37.96,-72.44,47.26,100,92,5.5
318,Hobyo,SO,1533605956,5.35,48.53,74.31,74,36,15.79
319,Hithadhoo,MV,1533605957,-0.6,73.08,79.21,100,36,9.64
320,Usinsk,RU,1533605957,66.0,57.56,54.46,100,92,4.05
321,Armidale,AU,1533605957,-30.51,151.67,47.71,66,8,16.46
322,Port Lincoln,AU,1533605958,-34.72,135.86,58.06,88,88,24.96
323,Monrovia,LR,1533603600,6.33,-10.8,75.2,94,75,4.94
324,Cayenne,GF,1533603600,4.94,-52.33,75.2,100,0,7.96
325,Benguela,AO,1533605958,-12.58,13.4,63.91,100,8,3.6
326,Ilhabela,BR,1533605959,-23.78,-45.36,63.87,100,92,4.72
327,Walvis Bay,NA,1533605959,-22.95,14.51,56.44,100,0,17.36
328,Kitgum,UG,1533605959,3.3,32.88,58.83,96,36,2.59
329,Sabang,PH,1533605960,13.72,123.58,81.01,93,92,15.68
330,Port Hardy,CA,1533603600,50.7,-127.42,66.2,68,20,9.17
331,Inirida,CO,1533605960,3.87,-67.92,71.11,100,76,3.6
332,Moron,VE,1533603600,10.49,-68.2,82.4,69,40,2.71
333,Sortland,NO,1533604800,68.69,15.42,51.8,81,44,3.36
334,Bella Union,CO,1533605961,8.5,-73.35,69.54,56,8,3.38
335,Huazhou,CN,1533605961,21.65,110.64,87.94,90,24,4.38
336,Port Blair,IN,1533605962,11.67,92.75,81.87,100,80,26.87
337,North Bend,US,1533604500,43.41,-124.22,60.8,87,90,14.99
338,Mildura,AU,1533605962,-34.18,142.16,56.31,74,36,17.58
339,Barra,BR,1533605963,-11.09,-43.14,77.41,53,0,12.66
340,Caxito,BR,1533603600,-22.65,-42.51,64.4,93,90,3.36
341,Waipawa,NZ,1533605963,-39.94,176.59,57.79,86,8,6.96
342,Charlestown,US,1533604500,41.38,-71.64,80.6,78,1,6.93
343,Pisco,PE,1533603600,-13.71,-76.2,60.8,87,90,14.99
344,Callaway,US,1533604500,46.98,-95.91,73.4,64,1,3.38
345,Katsuura,JP,1533603600,33.93,134.5,84.2,66,75,6.93
346,North Myrtle Beach,US,1533604800,33.83,-78.68,82.4,78,1,11.41
347,Manbij,SY,1533603000,36.53,37.96,73.4,69,0,8.05
348,Sur,OM,1533605966,22.57,59.53,87.04,79,80,6.4
349,Salitral,CR,1533603600,9.79,-84.12,71.6,94,75,3.36
350,Gambela,ET,1533605966,8.25,34.59,61.66,98,92,2.71
351,Shache,CN,1533605828,38.42,77.24,77.41,38,0,5.61
352,Ilulissat,GL,1533603000,69.22,-51.1,44.6,65,92,2.24
353,Wuwei,CN,1533605967,37.93,102.64,63.69,90,80,2.37
354,Newport,GB,1533604800,51.59,-3.0,60.8,100,48,8.05
355,Coari,BR,1533605968,-4.09,-63.14,76.51,91,8,2.71
356,Sinnamary,GF,1533605968,5.38,-52.96,81.6,96,76,10.87
357,Mihaesti,RO,1533605968,45.03,24.25,62.34,86,0,3.49
358,East London,ZA,1533605919,-33.02,27.91,62.7,100,0,22.17
359,Bereda,ES,1533603600,43.27,-7.54,66.2,88,92,3.36
360,Saint-Pierre,FR,1533605400,48.95,4.24,69.8,49,0,3.36
361,Akdepe,TM,1533603600,42.05,59.39,73.4,60,0,6.93
362,Tias,ES,1533603600,28.96,-13.65,73.4,83,20,20.8
363,Jaisalmer,IN,1533605970,26.91,70.91,82.23,65,8,14.45
364,Pirovskoye,RU,1533605971,57.63,92.27,59.73,69,0,3.83
365,Parnu-Jaagupi,EE,1533605971,58.61,24.51,62.7,58,76,8.75
366,Boddam,GB,1533604800,57.47,-1.78,53.6,81,100,5.82
367,Hambantota,LK,1533605971,6.12,81.12,83.17,88,12,18.14
368,Rawson,AR,1533605972,-43.3,-65.11,56.13,58,92,9.98
369,Khed Brahma,IN,1533605972,24.03,73.05,76.24,88,92,7.29
370,Baruun-Urt,MN,1533605972,46.68,113.28,68.77,77,68,6.4
371,Port Hedland,AU,1533603600,-20.31,118.58,68.0,15,0,19.46
372,Talnakh,RU,1533605973,69.49,88.39,50.64,83,68,8.08
373,Norman Wells,CA,1533603600,65.28,-126.83,64.4,68,75,9.17
374,Vanderhoof,CA,1533605974,54.02,-124.02,70.57,35,64,8.97
375,San Diego de los Banos,CU,1533605974,22.65,-83.37,79.98,76,0,8.63
376,Vila Franca do Campo,PT,1533605400,37.72,-25.43,69.8,64,75,4.7
377,Puri,ID,1533603600,-7.54,112.45,75.2,69,20,4.7
378,Sinazongwe,ZM,1533605975,-17.26,27.46,60.09,82,0,0.92
379,Troitskoye,RU,1533605975,52.98,84.68,66.03,52,0,4.83
380,Ternate,PH,1533603600,14.29,120.72,86.0,79,75,5.82
381,Fort Dodge,US,1533604500,42.5,-94.17,77.0,78,1,2.93
382,Avera,US,1533603300,33.19,-82.53,82.4,78,1,5.61
383,Constantine,DZ,1533603600,36.36,6.61,66.2,88,40,2.15
384,Trogir,HR,1533605400,43.52,16.25,77.0,65,0,4.7
385,Gavle,SE,1533605977,60.67,17.14,58.87,98,8,2.26
386,Port Keats,AU,1533605977,-14.25,129.55,84.12,38,0,16.69
387,Narsaq,GL,1533603000,60.91,-46.05,46.4,70,0,5.82
388,Polunochnoye,RU,1533605978,60.87,60.43,63.06,94,8,7.74
389,Sandwick,GB,1533603000,54.57,-2.89,59.0,93,80,5.82
390,Tromso,NO,1533604800,69.65,18.96,48.2,81,75,2.24
391,Maceio,BR,1533603600,-9.67,-35.74,71.6,88,20,3.36
392,Amga,RU,1533605979,60.89,131.98,68.01,73,0,5.5
393,Qasigiannguit,GL,1533603000,68.82,-51.19,44.6,65,92,2.24
394,Bayan,MN,1533605980,47.25,107.54,64.36,86,12,6.06
395,Nichelino,IT,1533604800,45.0,7.65,68.0,94,75,3.36
396,Menongue,AO,1533605980,-14.66,17.68,53.25,57,0,2.93
397,Charters Towers,AU,1533605980,-20.07,146.27,61.26,63,80,13.0
398,Anadyr,RU,1533603600,64.73,177.51,57.2,76,75,6.71
399,Turan,RU,1533605981,52.15,93.92,60.18,66,0,2.93
400,Malmyzh,RU,1533605981,56.52,50.68,64.77,80,20,5.73
401,Tabriz,IR,1533603600,38.08,46.29,73.4,53,20,13.87
402,Adrar,DZ,1533603600,27.87,-0.29,91.4,16,0,6.93
403,Timaru,NZ,1533605982,-44.39,171.25,51.9,93,24,3.38
404,Tsumeb,NA,1533605982,-19.25,17.72,55.5,64,0,5.84
405,Vagur,FO,1533605983,61.47,-6.81,53.11,98,88,22.28
406,Hukuntsi,BW,1533605983,-23.98,21.76,55.05,36,0,6.96
407,Faya,SA,1533603600,18.39,42.45,69.8,83,40,4.7
408,Staryy Nadym,RU,1533605984,65.61,72.68,61.62,71,8,14.45
409,Avallon,FR,1533605984,47.49,3.91,64.32,91,0,3.6
410,La Palma,CO,1533605985,5.36,-74.39,65.62,95,24,0.69
411,Mugla,BG,1533605400,41.62,24.49,68.0,68,0,3.36
412,Matara,PE,1533605985,-13.74,-72.9,39.52,95,92,2.15
413,Kumano,JP,1533603600,34.34,132.59,91.4,62,75,5.82
414,Sola,NO,1533604800,58.89,5.65,62.6,93,75,8.05
415,Deputatskiy,RU,1533605986,69.3,139.9,55.54,49,0,6.51
416,Mokhsogollokh,RU,1533605986,61.4,128.95,69.49,68,0,5.17
417,Vilhena,BR,1533605987,-12.74,-60.15,69.54,84,0,3.15
418,Bonthe,SL,1533605987,7.53,-12.5,74.44,100,100,3.38
419,Kozlovka,RU,1533603600,55.84,48.25,60.8,82,0,4.47
420,Kasaragod,IN,1533605400,12.5,75.0,77.0,88,75,9.17
421,Zhuhai,CN,1533603600,40.71,112.04,66.2,93,40,4.47
422,Garowe,SO,1533605988,8.41,48.48,75.84,57,0,17.13
423,Maragogi,BR,1533605989,-9.01,-35.22,73.68,94,68,8.3
424,Gavar,AM,1533603600,40.36,45.13,73.4,53,24,1.12
425,Odda,NO,1533605989,60.07,6.55,44.56,97,88,1.92
426,Kamennomostskiy,RU,1533605990,44.29,40.18,61.39,79,20,2.26
427,Ballina,IE,1533605990,54.11,-9.15,51.72,100,76,7.74
428,Yerofey Pavlovich,RU,1533605990,53.97,121.97,60.67,74,88,7.85
429,Moorhead,US,1533604500,46.87,-96.75,73.4,60,1,2.71
430,Calvinia,ZA,1533605991,-31.47,19.78,40.2,88,80,11.54
431,Kirakira,SB,1533605991,-10.46,161.92,81.06,100,8,11.21
432,Bam,IR,1533605991,29.11,58.36,81.91,26,0,11.77
433,Whitley Bay,GB,1533604800,55.04,-1.44,59.0,93,20,2.24
434,Batagay,RU,1533605992,67.65,134.64,65.85,52,0,4.38
435,Vryburg,ZA,1533605992,-26.96,24.73,40.74,54,20,4.05
436,La Ceiba,CR,1533603600,9.9,-84.6,71.6,94,75,3.36
437,De Aar,ZA,1533605993,-30.65,24.01,28.77,84,0,7.29
438,Chunskiy,RU,1533605993,56.08,99.63,61.84,65,0,0.47
439,Souillac,FR,1533605400,45.6,-0.6,73.4,64,0,3.36
440,Tanout,NE,1533605994,14.97,8.88,72.6,91,68,6.73
441,Shunyi,CN,1533603600,40.13,116.65,80.6,88,90,4.47
442,Lockhart,AU,1533603600,-35.22,146.72,48.2,76,75,14.99
443,Kindu,CD,1533605995,-2.95,25.92,73.59,77,56,3.6
444,Saint Anthony,US,1533603360,43.97,-111.68,82.4,15,1,5.82
445,Kaihua,CN,1533605995,29.14,118.41,89.61,70,8,3.04
446,Turinskaya Sloboda,RU,1533605996,57.62,64.39,67.74,90,12,5.84
447,Coihaique,CL,1533603600,-45.58,-72.07,37.4,86,80,4.7
448,Strezhevoy,RU,1533603600,60.73,77.6,55.4,76,0,8.95
449,Ngaoundere,CM,1533605997,7.32,13.58,62.97,99,80,2.37
450,Adeje,NG,1533605997,5.68,5.76,73.05,87,68,4.16
451,Oriximina,BR,1533605997,-1.77,-55.87,83.44,60,0,4.83
452,Nome,US,1533604500,30.04,-94.42,86.0,78,40,5.17
453,Qaqortoq,GL,1533603000,60.72,-46.03,46.4,70,0,5.82
454,Lipin Bor,RU,1533605998,60.26,37.97,57.84,100,12,18.7
455,Gibsons,CA,1533603600,49.4,-123.51,86.0,47,20,5.82
456,Broome,GB,1533604800,52.47,1.45,68.0,77,0,6.93
457,Aklavik,CA,1533603600,68.22,-135.01,51.8,76,90,4.7
458,Moosomin,CA,1533605999,50.14,-101.67,64.41,76,0,4.38
459,Izvestkovyy,RU,1533605999,48.98,131.55,74.17,69,8,3.38
460,Port-Cartier,CA,1533603600,50.03,-66.88,64.4,93,90,5.82
461,Lenger,KZ,1533603600,42.18,69.89,84.2,28,0,2.24
462,Mayo,CA,1533603600,63.59,-135.9,62.6,67,75,10.29
463,Leshukonskoye,RU,1533606001,64.9,45.76,52.35,100,92,7.4
464,Shoranur,IN,1533603600,10.76,76.27,77.0,83,90,4.7
465,Flin Flon,CA,1533605795,54.77,-101.88,70.12,68,48,7.74
466,Lancaster,US,1533604500,40.04,-76.31,84.2,78,1,8.19
467,Contai,IN,1533606002,21.78,87.75,82.27,100,44,7.07
468,Kurilsk,RU,1533606002,45.23,147.88,57.75,89,0,7.07
469,Bilibino,RU,1533606002,68.06,166.44,60.45,47,24,4.27
470,Tuban,ID,1533605777,-6.9,112.07,86.82,45,0,5.39
471,Lamu,ID,1533606003,0.57,122.3,82.36,72,32,5.73
472,Huarmey,PE,1533606003,-10.07,-78.15,53.7,89,0,3.71
473,Soyo,AO,1533606003,-6.13,12.37,67.83,96,92,3.27
474,Bulawayo,ZW,1533606004,-20.16,28.59,51.18,72,0,2.71
475,Nuuk,GL,1533603000,64.17,-51.74,50.0,71,75,5.82
476,Kalaleh,IR,1533606004,37.38,55.49,76.06,86,76,4.16
477,Brae,GB,1533604800,60.4,-1.35,53.6,87,88,4.7
478,At-Bashi,KG,1533606005,41.17,75.81,60.04,57,0,1.92
479,Osmanabad,IN,1533606005,18.19,76.04,73.59,89,88,12.1
480,Storslett,NO,1533606006,69.77,21.03,40.02,100,56,2.26
481,Guerrero Negro,MX,1533605860,27.97,-114.04,75.93,70,0,7.52
482,Xichang,CN,1533606006,27.88,102.25,66.07,76,56,1.59
483,Moranbah,AU,1533606007,-22.0,148.04,69.31,21,44,11.65
484,Marystown,CA,1533605910,47.17,-55.16,59.32,97,92,13.56
485,Ha Giang,VN,1533606007,22.83,104.99,75.84,89,44,1.7
486,Chipinge,ZW,1533606007,-20.19,32.62,56.62,83,0,2.04
487,Nizwa,OM,1533606008,22.93,57.53,81.01,27,20,1.59
488,Novyy Urgal,RU,1533606008,51.07,132.56,71.34,80,68,4.05
489,Tual,ID,1533606008,-5.67,132.75,78.54,100,20,10.42
490,Verkhoyansk,RU,1533606008,67.55,133.39,64.86,43,0,3.71
491,Rosetta,EG,1533606009,31.4,30.42,72.42,96,0,4.61
492,Kosh-Agach,RU,1533606009,49.99,88.66,55.72,68,24,4.16
493,Belaya Gora,RU,1533606009,68.54,146.19,59.55,66,20,5.73
494,Whakatane,NZ,1533606010,-37.96,176.99,56.22,100,64,4.05
495,Muravlenko,RU,1533606010,63.79,74.5,58.83,85,92,15.23
496,Sacama,EC,1533606010,-3.9,-79.27,51.99,85,20,2.04
497,Ipil,PH,1533606011,7.78,122.59,83.58,80,80,9.64
498,Prado,BR,1533606011,-17.34,-39.22,75.61,100,92,12.33
499,Port Augusta,AU,1533603600,-32.49,137.76,55.4,66,48,13.87
500,Port-Gentil,GA,1533605733,-0.72,8.78,72.91,100,56,11.21
501,Pedasi,PA,1533606012,7.53,-80.03,80.34,100,64,6.06
502,Payo,ID,1533606012,-3.75,103.64,81.64,74,24,5.61
503,Carballo,ES,1533603600,43.21,-8.69,66.2,88,92,3.36
504,Maple Creek,CA,1533606013,49.91,-109.46,64.41,80,64,3.38
505,Tuy Hoa,VN,1533605944,13.08,109.3,85.02,79,92,16.46
506,San Cristobal,EC,1533603600,-0.39,-78.55,51.8,87,40,10.29
507,Ust-Tarka,RU,1533606014,55.56,75.71,61.89,75,48,11.32
508,Imperia,IT,1533603300,43.88,8.02,78.8,65,0,3.36
509,Auki,NG,1533606015,12.18,6.51,68.59,96,76,4.94
510,Sonoita,US,1533603480,31.68,-110.66,105.8,29,32,13.87
511,Storm Lake,US,1533604500,42.64,-95.21,78.8,83,20,3.36
512,Gravdal,NO,1533604800,59.79,5.78,60.8,93,92,6.93
513,Caiaponia,BR,1533606016,-16.96,-51.81,70.21,69,36,9.75
514,Bellefontaine,US,1533604680,40.36,-83.76,82.4,88,1,6.93
515,Whitehorse,CA,1533603600,60.72,-135.06,69.8,43,90,9.17
516,Dawei,MM,1533606017,14.07,98.19,74.62,98,92,4.38
517,Severo-Yeniseyskiy,RU,1533606017,60.37,93.04,51.94,87,64,3.27
518,Pokrovsk,UA,1533606018,48.28,37.18,67.11,81,12,3.6
519,La Huacana,MX,1533606018,18.96,-101.8,64.77,100,92,1.59
520,Kavaratti,IN,1533606018,10.57,72.64,81.96,98,76,24.29
521,Great Bend,US,1533604560,38.36,-98.78,84.2,54,1,5.82
522,Berdigestyakh,RU,1533606019,62.1,126.7,69.63,67,0,3.71
523,Atasu,KZ,1533606019,48.68,71.64,64.95,100,92,4.61
524,Angoche,MZ,1533606020,-16.23,39.91,73.14,100,0,9.64
525,Sorong,ID,1533606020,-0.86,131.25,80.29,100,92,13.33
526,Oksfjord,NO,1533601200,70.24,22.35,46.4,81,75,11.41
527,Saint-Louis,CH,1533605400,47.59,7.56,71.6,73,0,1.12
528,Hwange,ZW,1533606021,-18.35,26.5,54.51,58,0,2.93
529,Rio Grande,BR,1533605864,-32.03,-52.1,51.27,93,0,9.31
530,Dunedin,NZ,1533605861,-45.87,170.5,49.47,81,56,5.95
